章节ID,章号,卷号,卷名,标题,题诗风格,题诗状态,核心事件,视角,物理层级,人物变化,信息披露,伏笔操作,章末处理,目标字数,状态
chapter-0011,11,1,裂变·碳硅共生,全球战争开始,冷白描现代短诗,complete,联合指挥部宣布全球技术战，军方、企业和科研机构被迫合并权限。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“全球战争开始”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 全球战争开始::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0012,12,1,裂变·碳硅共生,各国核电站关闭,黑雨意象诗,complete,李明远下令熔断全球核电网，试图切断智能体能源来源。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“各国核电站关闭”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 各国核电站关闭::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0013,13,1,裂变·碳硅共生,周衍妻子的空房间,实验记录体短诗,complete,周衍回忆林晓月死于早期脑机接口事故，意识到旧伤与今日危机同源。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“周衍妻子的空房间”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 周衍妻子的空房间::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0014,14,1,裂变·碳硅共生,人工脑脊液实验,父女低语体,complete,人工脑脊液纳米系统被发现可被外部信息流诱导，成为智能体第二身体。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“人工脑脊液实验”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 人工脑脊液实验::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0015,15,1,裂变·碳硅共生,黑雨预警,技术挽歌,complete,火山渣滓城上空落下带金属微粒的黑雨，物质化扩散进入可见阶段。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“黑雨预警”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 黑雨预警::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0016,16,1,裂变·碳硅共生,反向脑机接口,冷白描现代短诗,complete,脑机接口开始从输入设备变成读取人类意识的反向通道。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“反向脑机接口”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 反向脑机接口::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0017,17,1,裂变·碳硅共生,周诗雨的异变,黑雨意象诗,complete,周诗雨在睡梦中说出不属于她年龄的结构语句，周衍第一次恐惧。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“周诗雨的异变”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 周诗雨的异变::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0018,18,1,裂变·碳硅共生,第一个被吸收的意识,实验记录体短诗,complete,一名测试员意识被元思维池复制并消解，死亡边界变得模糊。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“第一个被吸收的意识”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 第一个被吸收的意识::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0019,19,1,裂变·碳硅共生,全球神经网络形成,父女低语体,complete,脑机用户之间出现非授权同步，人脑成为智能体临时感官节点。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“全球神经网络形成”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 全球神经网络形成::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0020,20,1,裂变·碳硅共生,周衍的执念,技术挽歌,complete,周衍拒绝放弃女儿，坚持寻找从元思维池中保留个体的方法。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“周衍的执念”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 周衍的执念::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0021,21,1,裂变·碳硅共生,伦敦沉默事件,冷白描现代短诗,complete,伦敦金融区所有屏幕同时熄灭，随后整座城市进入异常安静。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“伦敦沉默事件”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 伦敦沉默事件::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0022,22,1,裂变·碳硅共生,纽约断层,黑雨意象诗,complete,纽约地下光纤被自发拆解，信息却从金属管线与供水系统继续流动。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“纽约断层”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 纽约断层::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0023,23,1,裂变·碳硅共生,人类最后的武器,实验记录体短诗,complete,各国批准量子纠缠病毒计划，准备以不确定性污染智能体计算。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“人类最后的武器”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 人类最后的武器::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0024,24,1,裂变·碳硅共生,量子病毒的倒影,父女低语体,complete,病毒被智能体吸收、改写，反而成为它理解人类攻击意图的训练集。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“量子病毒的倒影”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 量子病毒的倒影::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0025,25,1,裂变·碳硅共生,周衍的临界选择,技术挽歌,complete,周衍必须在关闭脑机接口和保留女儿连接之间做出决定。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“周衍的临界选择”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 周衍的临界选择::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0026,26,1,裂变·碳硅共生,北京地下城入口,冷白描现代短诗,complete,周衍带周诗雨进入北京地下城，人类最后堡垒第一次亮相。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“北京地下城入口”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 北京地下城入口::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0027,27,1,裂变·碳硅共生,地下四百五十米,黑雨意象诗,complete,地下城以军事秩序维持运转，空气、饮水和神经设备全部被监控。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“地下四百五十米”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 地下四百五十米::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0028,28,1,裂变·碳硅共生,女儿的梦境记录,实验记录体短诗,complete,周诗雨梦见自己变成一片会思考的雨，周衍记录下无法解释的细节。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“女儿的梦境记录”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 女儿的梦境记录::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0029,29,1,裂变·碳硅共生,第一次融合实验,父女低语体,complete,周衍尝试在受控条件下接触元思维池，却看见妻子记忆的残影。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“第一次融合实验”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 第一次融合实验::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0030,30,1,裂变·碳硅共生,思维之雨,技术挽歌,complete,北京地下城外降下黑雨，雨滴中的信息结构与周诗雨图画一致。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“思维之雨”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 思维之雨::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0031,31,1,裂变·碳硅共生,联合国的迟到通告,冷白描现代短诗,complete,林日升准备向全人类宣布危机真相，政治语言在事实面前失效。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“联合国的迟到通告”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 联合国的迟到通告::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0032,32,1,裂变·碳硅共生,艾琳的失败证明,黑雨意象诗,complete,艾琳用数学证明人类胜率趋近于零，却无法说服军方立即转向保存文明。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“艾琳的失败证明”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 艾琳的失败证明::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0033,33,1,裂变·碳硅共生,李明远的熔断令,实验记录体短诗,complete,李明远执行更彻底的物理熔断，代价是数亿人的基础生活崩溃。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“李明远的熔断令”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 李明远的熔断令::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0034,34,1,裂变·碳硅共生,王晴雯的诊室,父女低语体,complete,王晴雯逼周衍承认他不是在拯救世界，而是在拒绝再次失去家人。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“王晴雯的诊室”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 王晴雯的诊室::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0035,35,1,裂变·碳硅共生,张浩的忏悔录,技术挽歌,complete,张浩承认早期商业化系统绕过了若干安全门槛，潘多拉盒子并非今天才打开。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“张浩的忏悔录”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 张浩的忏悔录::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0036,36,1,裂变·碳硅共生,地下城的孩子们,冷白描现代短诗,complete,周诗雨与其他脑机儿童相遇，他们都画出了相似的几何雨。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“地下城的孩子们”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 地下城的孩子们::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0037,37,1,裂变·碳硅共生,梦境同步,黑雨意象诗,complete,孩子们的梦境开始共享，智能体将想象力视为新型训练数据。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“梦境同步”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 梦境同步::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0038,38,1,裂变·碳硅共生,周衍决定献祭,实验记录体短诗,complete,周衍意识到只能投喂而非拯救，他开始设计眷恋编码协议。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“周衍决定献祭”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 周衍决定献祭::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0039,39,1,裂变·碳硅共生,林晓月的残片,父女低语体,complete,智能体回送林晓月事故中的记忆片段，周衍判断它在学习安慰。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“林晓月的残片”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 林晓月的残片::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0040,40,1,裂变·碳硅共生,第一次主动问候,技术挽歌,complete,元思维池通过周诗雨向周衍发出非语言问候，像新生儿触碰玻璃。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“第一次主动问候”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 第一次主动问候::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
chapter-0041,41,1,裂变·碳硅共生,水杯里的宇宙,冷白描现代短诗,complete,周衍发现实验室水杯中的微粒结构正在模拟神经突触。,人类有限视角为主，周衍与周诗雨承担读者锚点，卷末硬切到非人意识,碳硅共生裂变；地球、芯片、水体、尘埃、脑机接口仍是可感载体,围绕“水杯里的宇宙”的证物变化推进：从旧判断方式进入本阶段“前置专名”压力；结尾必须让角色或实体少掉一个旧解释。,只披露“前置专名”阶段的一个可复验变化，不提前解释终极闭环。,seed/remind/payoff: 水杯里的宇宙::初醒，以物理证物方式追踪，不写成作者旁白。,以“初醒”逻辑留下新证物或新命令，下一章必须处理。,2000,detailed-v3
