批次ID,起始章,结束章,批次规模,处理建议,状态
poetry-0701-0750,701,750,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0751-0800,751,800,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0801-0850,801,850,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0851-0900,851,900,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0901-0950,901,950,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-0951-1000,951,1000,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1001-1050,1001,1050,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1051-1100,1051,1100,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1101-1150,1101,1150,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1151-1200,1151,1200,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1201-1250,1201,1250,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1251-1300,1251,1300,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1301-1350,1301,1350,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1351-1400,1351,1400,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1401-1450,1401,1450,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1451-1500,1451,1500,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1501-1550,1501,1550,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1551-1600,1551,1600,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1601-1650,1601,1650,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1651-1700,1651,1700,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1701-1750,1701,1750,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1751-1800,1751,1800,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1801-1850,1801,1850,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1851-1900,1851,1900,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1901-1950,1901,1950,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-1951-2000,1951,2000,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2001-2050,2001,2050,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2051-2100,2051,2100,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2101-2150,2101,2150,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2151-2200,2151,2200,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2201-2250,2201,2250,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2251-2300,2251,2300,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2301-2350,2301,2350,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2351-2400,2351,2400,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2401-2450,2401,2450,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
poetry-2451-2500,2451,2500,50,进入正文定稿前人工精修题诗，尤其检查唐诗宋词元曲体式是否有真诗味，而不是只像格式。,planned
